year_month,count
2014-01,430
2014-02,536
2014-03,633
2014-04,582
2014-05,597
2014-06,652
2014-07,689
2014-10,654
2014-11,515
2014-12,544
2015-01,678
2015-02,712
2015-03,732
2015-04,693
2015-05,625
2015-07,794
2015-08,679
2015-09,569
2015-10,658
2015-11,764
2015-12,886
2016-01,668
2016-02,810
2016-03,831
2016-04,819
2016-05,1150
2016-06,1165
2016-07,1141
2016-08,1386
2016-09,1137
2016-10,1124
2016-11,1168
2016-12,1410
2017-01,875
2017-02,1023
2017-03,1099
2017-04,741
2017-05,769
2017-06,973
2017-07,924
2017-08,1110
2017-09,1105
2017-10,953
2017-11,807
2017-12,863
2018-01,713
2018-02,754
2018-03,1380
2018-04,1145
2018-05,1149
2018-06,1130
2018-07,829
2018-08,1044
2018-09,697
2018-10,678
2018-11,689
2018-12,714
2019-01,739
2019-02,701
2019-03,655
2019-04,676
2019-05,757
2019-06,720
2019-07,857
2019-08,702
2019-09,856
2019-10,792
2019-11,631
2019-12,566
2020-01,660
2020-02,889
2020-03,469
2020-04,515
2020-05,382
2020-06,643
2020-07,615
2020-08,487
2020-09,642
2020-10,593
2020-11,599
2020-12,524
2021-01,613
2021-02,522
2021-03,577
2021-04,543
2021-05,826
2021-06,861
2021-07,826
2021-08,779
2021-09,650
2021-10,806
2021-11,861
2021-12,941
2022-01,1046
2022-02,1170
2022-03,824
2022-04,1119
2022-05,1029
2022-06,1089
2022-07,902
2022-08,1160
2022-09,1188
2022-10,1234
2022-11,1190
2022-12,1248
2023-01,1301
2023-02,1039
2023-03,1231
2023-04,1393
2023-05,1490
2023-06,1185
2023-07,1089
2023-08,981
2023-09,1021
2023-10,1010
2023-11,895
2023-12,684
2024-01,800
2024-02,841
2024-03,695
2024-04,690
2024-05,712
2024-06,734
2024-07,762
2024-08,742
2024-09,668
2024-10,747
2024-11,719
2024-12,823
